,0,1,2
0,https://www.amazon.com.br/Iphone-Apple-Preto-64gb-Desbloqueado/dp/B07SS4C6Y4/ref=sr_1_1?dchild=1&keywords=iphone&qid=1607907989&sr=8-1,"4,6 de 5 estrelas",16
1,https://www.amazon.com.br/Novo-Iphone-64Gb-Branco-Ios/dp/B07JK2XN6J/ref=sr_1_2?dchild=1&keywords=iphone&qid=1607907989&sr=8-2,"5,0 de 5 estrelas",10
2,https://www.amazon.com.br/Iphone-Apple-Branco-128gb-Desbloqueado/dp/B07SS3R9FQ/ref=sr_1_3?dchild=1&keywords=iphone&qid=1607907989&sr=8-3,"4,6 de 5 estrelas",14
3,https://www.amazon.com.br/Xiaomi-Redmi-Note-128GB-4GB/dp/B088HJ3FCX/ref=sr_1_4?dchild=1&keywords=iphone&qid=1607907989&sr=8-4,"4,7 de 5 estrelas",7.537
4,https://www.amazon.com.br/IPHONE-11-PRETO-TELA-C%C3%82MERA/dp/B086VQTMPR/ref=sr_1_5?dchild=1&keywords=iphone&qid=1607907989&sr=8-5,"5,0 de 5 estrelas",13
5,https://www.amazon.com.br/Iphone-Xs-64Gb-Prata/dp/B07HMFCS5G/ref=sr_1_6?dchild=1&keywords=iphone&qid=1607907989&sr=8-6,"4,7 de 5 estrelas",220
6,https://www.amazon.com.br/Iphone-Apple-Cinza-Espacial-Desbloqueado/dp/B0768F1ZMP/ref=sr_1_7?dchild=1&keywords=iphone&qid=1607907989&sr=8-7,"5,0 de 5 estrelas",2
7,https://www.amazon.com.br/iPhone-XS-64GB-Dourado/dp/B07J6HZT43/ref=sr_1_8?dchild=1&keywords=iphone&qid=1607907989&sr=8-8,"4,5 de 5 estrelas",144
8,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Moonlight-Branco/dp/B07YJHXZT6/ref=sr_1_9?dchild=1&keywords=iphone&qid=1607907989&sr=8-9,"4,8 de 5 estrelas",44.822
9,https://www.amazon.com.br/Iphone-128Gb-Branco-Wi-Fi-C%C3%A2mera/dp/B087SF4G2N/ref=sr_1_10?dchild=1&keywords=iphone&qid=1607907989&sr=8-10,"5,0 de 5 estrelas",40
10,https://www.amazon.com.br/Impacto-GEONAV-Anti-Impacto-Branco-Transparente/dp/B07C87XF18/ref=sr_1_11?dchild=1&keywords=iphone&qid=1607907989&sr=8-11,"4,7 de 5 estrelas",128
